,Dizi Linki,Dizi Adı,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Youtube,Facebook,Twitter,Instagram,Durumu
72,https://tr.wikipedia.org//w/index.php?title=Biz_Kimden_Ka%C3%A7%C4%B1yorduk_Anne%3F_(dizi)&action=edit&redlink=1,Biz Kimden Kaçıyorduk Anne?,"Dram,Polisiye",?,Ertan Kurtulan,Umut Aral,Melisa Sözen,?,1,7,?,Türkiye,?,45 dakika,?,?,Netflix,?,24 Mart 2023,0,0,0,0,Sona erdi
73,https://tr.wikipedia.org//w/index.php?title=Dayton_(dizi)&action=edit&redlink=1,Dayton,Dram,?,Ümit Cihan Canpolat,Başak Soysal,"Levent Öktem,Bülent Alkış",?,1,6,?,?,?,53 dakika,?,?,tabii,?,7 Mayıs 2023,0,0,0,0,Yayından kaldırıldı
74,https://tr.wikipedia.org//w/index.php?title=Deneme_%C3%87ekimi&action=edit&redlink=1,Deneme Çekimi,"Dram,Komedi",?,?,"Selçuk Aydemir,Burak Aksak,Yılmaz Çam",Selçuk Aydemir,?,1,10,?,?,?,14 dakika,?,?,BluTV,?,24 Ekim 2023,0,0,0,0,Devam ediyor
75,https://tr.wikipedia.org//w/index.php?title=Derin_Mor&action=edit&redlink=1,Derin Mor,Bilim Kurgu,?,Emre Kayış,Mehmet Fazıl Coşkun,"Deniz Celiloğlu,Nilperi Şahinkaya",?,1,8,Merve Zorlu  Güneş Çelikcan ,?,?,?,?,?,BluTV,?,23 Aralık 2023,0,0,0,0,Devam ediyor
76,https://tr.wikipedia.org//wiki/Dilek_Ta%C5%9F%C4%B1_(dizi),Dilek Taşı,"Dram,Tarihî",?,?,"Altan Dönmez,(1-6),Volkan Kocatürk (7-13),Osman Taşcı,(14-)","Salih Bademci,Hazal Subaşı,Ozan Dolunay",JingleTV,1,14,"Yaşar İrvül,Efe İrvül",İstanbul,"Hakan Gencan (1-6),Metin Turguç (7-)",135 dakika,Pastel Film,Kanal D,?,Stereo,7 Eylül 2023 - günümüz,1,1,1,1,Devam ediyor
77,https://tr.wikipedia.org//wiki/Dokuz_O%C4%9Fuz_(dizi),Dokuz Oğuz,"Aksiyon,Dram",?,"Süleyman Çobanoğlu,Gül Güzelkaya","Cem Akyoldaş,(1-5),Bülent İşbilen,(6)","Kubilay Aka,Deniz Işın,Yasemin Allen","Ender Gündüzlü,Metin Arıgül,Can Sanıbelli",1,6,Faruk Turgut,"Eskişehir,[1],Ankara",?,140 dakika,Gold Film,FOX,?,Stereo,28 Ocak 2023 - 25 Mart 2023,1,1,1,1,Sona erdi
78,https://tr.wikipedia.org//wiki/D%C3%B6nence_(dizi),Dönence,"Romantik,Dram,Gençlik",Exceptional,"S.A yazı Grubu,Nuray Uslu,Banu Yılmaz,Hamza Akyıldız,Ebru Hacıoğlu,İbrahim Güler,Melek Ordu",Serdar Gözelekli,"Emre Kınay,Caner Topçu,Sümeyye Aydoğan,Atakan Hoşgören",JingleTV,1,12,Ali Cengiz Deveci,İzmir,?,120 dakika,D Media,Kanal D,?,Stereo,4 Temmuz 2023 - 11 Ekim 2023,1,1,1,1,Devam ediyor
79,https://tr.wikipedia.org//wiki/D%C3%BCnya_Bu,Dünya Bu,Komedi,?,"Volkan Öge,Erman Çağlar,Ozan Akyol",Ömer Sinir,Ali Erkazan,?,1,8,"Caner Özyurtlu,Şükrü Avşar",İstanbul,?,35 dakika,"AC Film,Avşar Film",?,GAİN,Stereo,17 Mart 2023 - 5 Mayıs 2023,0,0,0,0,Sona erdi
80,https://tr.wikipedia.org//wiki/EGO_(dizi),EGO,Dram,"Temptation,–Ji-Hoon Han","Gülsev Karagöz (1, 4-13),Zafer Özer Çetinel (1, 4-13),Görkem Tüzün (1, 4-13),Okan Başar Bahar (8-13),Ahmet Orçun Okşar (1, 4-5),Erkan Birgören (2-3),Elif Tuna Kıygı (2-3)","Doğa Can Anafarta,(1-3),Şenol Sönmez,(4-13)","Alperen Duymaz,Melisa Aslı Pamuk,Ahmet Kayakesen,Rüya Helin Demirbulut","Cem Tuncer,Ercüment Orkut",1,13,"Efe İrvül,Yaşar İrvül","İstanbul,Antalya,[1]",?,130 dakika,Pastel Film,FOX,?,Stereo,5 Şubat 2023 - 21 Mayıs 2023,0,0,0,0,Sona erdi
81,https://tr.wikipedia.org//w/index.php?title=Eyvah!_Ramazan_Bey&action=edit&redlink=1,Eyvah! Ramazan Bey,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
